,password,name,view,saved_for_later,added_to_cart,bought,review,like
user31,12345,Chloe Allen,"['prod66', 'prod84', 'prod48', 'prod70', 'prod71', 'prod69', 'prod51', 'prod76', 'prod45', 'prod42', 'prod93', 'prod82', 'prod90', 'prod21', 'prod25', 'prod62', 'prod34', 'prod2', 'prod58', 'prod98', 'prod68', 'prod31', 'prod23', 'prod28', 'prod61', 'prod87', 'prod30', 'prod72', 'prod12', 'prod43', 'prod81', 'prod15']","['prod94', 'prod38', 'prod9']","['prod65', 'prod27', 'prod51', 'prod67', 'prod34']","['prod98', 'prod33', 'prod38', 'prod65', 'prod64', 'prod24', 'prod29', 'prod77', 'prod28', 'prod55', 'prod83', 'prod61', 'prod11', 'prod44']","{'prod28': 1, 'prod61': 3, 'prod29': 3, 'prod44': 2, 'prod64': 3, 'prod77': 3, 'prod33': 4, 'prod38': 4}","['prod11', 'prod20', 'prod21', 'prod48', 'prod88', 'prod27', 'prod18', 'prod69', 'prod4', 'prod52', 'prod46', 'prod14', 'prod42', 'prod96', 'prod24', 'prod7', 'prod45', 'prod6', 'prod62', 'prod44', 'prod57', 'prod74', 'prod8', 'prod61', 'prod76', 'prod67', 'prod35', 'prod94', 'prod10', 'prod80', 'prod99', 'prod32', 'prod34', 'prod81', 'prod30', 'prod54', 'prod25', 'prod97', 'prod93', 'prod38']"
user32,12345,James King,"['prod6', 'prod52', 'prod89', 'prod42', 'prod79', 'prod11', 'prod97', 'prod69', 'prod15', 'prod54', 'prod41', 'prod50', 'prod96', 'prod19', 'prod25', 'prod20', 'prod84', 'prod76', 'prod81']","['prod57', 'prod85', 'prod6', 'prod13', 'prod18', 'prod8', 'prod98', 'prod12']","['prod11', 'prod10', 'prod12', 'prod99', 'prod65']","['prod31', 'prod74', 'prod28', 'prod13', 'prod34', 'prod61', 'prod36']",{'prod61': 5},"['prod96', 'prod67', 'prod85', 'prod97', 'prod64', 'prod22', 'prod73', 'prod50', 'prod94', 'prod70', 'prod21', 'prod100', 'prod35', 'prod61', 'prod92', 'prod75']"
user33,12345,Lily Cooper,"['prod72', 'prod87', 'prod37', 'prod59', 'prod58']","['prod46', 'prod22', 'prod20', 'prod12', 'prod71', 'prod90', 'prod6', 'prod95', 'prod45', 'prod77']","['prod49', 'prod87', 'prod4', 'prod74', 'prod67']","['prod68', 'prod83', 'prod97', 'prod24', 'prod7', 'prod80']",{'prod97': 4},"['prod12', 'prod72', 'prod70', 'prod79', 'prod60', 'prod62', 'prod83', 'prod58', 'prod54', 'prod33', 'prod27', 'prod46', 'prod94', 'prod40', 'prod92', 'prod87', 'prod2', 'prod86', 'prod89']"
user34,12345,William Ward,"['prod89', 'prod71', 'prod4', 'prod53', 'prod26', 'prod29', 'prod49', 'prod77', 'prod70', 'prod79', 'prod86', 'prod100', 'prod1', 'prod54', 'prod22', 'prod59', 'prod55', 'prod45', 'prod41', 'prod76', 'prod23', 'prod24', 'prod38', 'prod73', 'prod14', 'prod58', 'prod94', 'prod12', 'prod82', 'prod87', 'prod46', 'prod75', 'prod92']","['prod10', 'prod79', 'prod3', 'prod71']","['prod49', 'prod12', 'prod58', 'prod16', 'prod32', 'prod14', 'prod52', 'prod91', 'prod79']","['prod44', 'prod58', 'prod8', 'prod6', 'prod98', 'prod53', 'prod50', 'prod61', 'prod37', 'prod13', 'prod7', 'prod3', 'prod54', 'prod47']","{'prod98': 5, 'prod8': 5, 'prod47': 2, 'prod6': 5, 'prod3': 1, 'prod50': 5}","['prod8', 'prod25', 'prod6', 'prod92', 'prod80', 'prod42', 'prod96', 'prod35', 'prod55', 'prod10', 'prod22', 'prod56', 'prod86', 'prod47', 'prod32', 'prod65', 'prod67', 'prod7', 'prod50', 'prod41', 'prod52', 'prod11', 'prod82', 'prod93', 'prod63', 'prod60', 'prod62', 'prod89', 'prod70', 'prod95', 'prod15', 'prod72', 'prod3', 'prod78', 'prod40', 'prod21', 'prod66', 'prod17', 'prod54', 'prod30', 'prod39', 'prod46', 'prod90', 'prod38', 'prod97', 'prod68', 'prod79']"
user35,12345,Grace Lee,"['prod51', 'prod31', 'prod50', 'prod49', 'prod94', 'prod57', 'prod24', 'prod54', 'prod98', 'prod47', 'prod82', 'prod35', 'prod59', 'prod84', 'prod87', 'prod69', 'prod22']","['prod76', 'prod5', 'prod52', 'prod32', 'prod100', 'prod81', 'prod93', 'prod7', 'prod72', 'prod65']","['prod4', 'prod24', 'prod69', 'prod43', 'prod7', 'prod18', 'prod32']","['prod43', 'prod54', 'prod69', 'prod95']",{},"['prod29', 'prod16', 'prod91', 'prod40', 'prod37', 'prod56', 'prod41', 'prod22', 'prod19', 'prod93', 'prod28', 'prod62', 'prod35', 'prod66', 'prod53', 'prod92', 'prod94', 'prod17', 'prod85', 'prod31', 'prod5', 'prod99', 'prod18', 'prod83', 'prod96', 'prod90', 'prod8', 'prod58', 'prod54', 'prod10', 'prod48']"
user36,12345,Michael Hughes,"['prod95', 'prod77', 'prod82', 'prod73', 'prod20', 'prod9', 'prod39', 'prod83', 'prod41', 'prod60', 'prod72', 'prod62', 'prod40', 'prod33', 'prod6', 'prod5', 'prod37', 'prod13', 'prod50', 'prod75', 'prod54', 'prod23', 'prod32', 'prod27', 'prod81', 'prod55', 'prod87', 'prod67', 'prod84', 'prod79', 'prod3', 'prod85', 'prod28', 'prod99', 'prod17', 'prod43', 'prod22', 'prod35', 'prod58', 'prod68', 'prod98']","['prod44', 'prod14', 'prod4', 'prod28', 'prod75', 'prod49', 'prod81', 'prod36', 'prod11']","['prod96', 'prod54']","['prod83', 'prod1', 'prod97', 'prod45', 'prod68', 'prod53', 'prod56', 'prod89', 'prod48', 'prod94']",{'prod89': 1},"['prod54', 'prod39', 'prod82', 'prod93', 'prod88', 'prod94', 'prod92', 'prod51', 'prod18', 'prod40', 'prod44', 'prod35', 'prod15', 'prod61', 'prod31', 'prod6', 'prod100', 'prod28', 'prod3', 'prod34', 'prod59', 'prod77', 'prod11']"
user37,12345,Emily Parker,"['prod45', 'prod86', 'prod84', 'prod10', 'prod55', 'prod25', 'prod92', 'prod16', 'prod14', 'prod34', 'prod95', 'prod40', 'prod22', 'prod37', 'prod38', 'prod18', 'prod82', 'prod42', 'prod60', 'prod97', 'prod53', 'prod6', 'prod76', 'prod32', 'prod24', 'prod39', 'prod23', 'prod72', 'prod98', 'prod27', 'prod12', 'prod87', 'prod11', 'prod57', 'prod21', 'prod93', 'prod49', 'prod78', 'prod28', 'prod7', 'prod56', 'prod64']","['prod64', 'prod72', 'prod75', 'prod74']",['prod97'],"['prod57', 'prod71', 'prod93', 'prod87', 'prod61', 'prod17']","{'prod17': 2, 'prod57': 5, 'prod71': 1, 'prod61': 4, 'prod87': 3}","['prod100', 'prod73', 'prod61', 'prod79', 'prod51', 'prod87', 'prod13', 'prod99', 'prod84', 'prod76', 'prod45', 'prod6', 'prod95', 'prod72', 'prod12', 'prod10', 'prod31', 'prod41', 'prod81', 'prod94', 'prod20', 'prod65', 'prod11', 'prod85', 'prod52', 'prod57', 'prod28', 'prod71', 'prod88', 'prod69', 'prod67', 'prod3', 'prod91', 'prod5', 'prod68', 'prod32', 'prod54', 'prod36', 'prod22', 'prod39', 'prod43', 'prod56', 'prod34', 'prod27', 'prod63', 'prod4']"
user38,12345,Daniel Morris,"['prod21', 'prod61', 'prod52', 'prod37', 'prod23', 'prod75', 'prod51', 'prod76', 'prod29', 'prod6', 'prod87', 'prod19', 'prod33', 'prod77', 'prod81', 'prod36', 'prod53']","['prod30', 'prod92', 'prod20', 'prod73', 'prod61', 'prod47', 'prod66', 'prod41']","['prod75', 'prod28', 'prod64', 'prod19', 'prod65', 'prod95']","['prod14', 'prod60']",{'prod14': 5},"['prod30', 'prod100', 'prod87', 'prod37', 'prod84', 'prod86', 'prod42', 'prod99', 'prod9', 'prod14', 'prod23', 'prod70', 'prod77', 'prod26', 'prod93', 'prod96', 'prod51', 'prod48']"
user39,12345,Victoria Bennett,"['prod81', 'prod85', 'prod16', 'prod65', 'prod75']","['prod14', 'prod23']","['prod90', 'prod33', 'prod43']","['prod50', 'prod31', 'prod92', 'prod63', 'prod19', 'prod72', 'prod64', 'prod48', 'prod42', 'prod85']",{},"['prod98', 'prod37', 'prod78', 'prod51', 'prod63', 'prod3', 'prod77', 'prod46', 'prod45', 'prod69', 'prod100', 'prod52', 'prod16', 'prod82', 'prod76', 'prod59', 'prod35', 'prod49', 'prod27', 'prod73', 'prod94', 'prod47', 'prod56', 'prod38', 'prod21', 'prod8', 'prod64', 'prod75', 'prod24', 'prod2', 'prod9', 'prod39', 'prod33', 'prod67', 'prod87', 'prod60', 'prod25', 'prod22', 'prod71', 'prod96', 'prod23', 'prod57', 'prod68', 'prod10', 'prod88', 'prod12', 'prod86', 'prod72', 'prod83']"
user40,12345,Joseph Ramirez,"['prod3', 'prod88', 'prod74']","['prod36', 'prod30', 'prod21', 'prod84', 'prod2', 'prod9', 'prod40', 'prod49', 'prod31']","['prod3', 'prod90', 'prod59', 'prod58', 'prod22']","['prod82', 'prod8', 'prod13', 'prod84', 'prod39', 'prod94', 'prod86', 'prod40', 'prod28', 'prod72', 'prod44', 'prod59']",{'prod8': 2},"['prod27', 'prod67', 'prod21', 'prod12', 'prod9', 'prod78', 'prod51', 'prod45', 'prod81', 'prod59', 'prod28', 'prod57', 'prod36', 'prod33', 'prod2', 'prod97', 'prod84', 'prod50', 'prod6', 'prod48', 'prod4', 'prod13', 'prod66', 'prod62', 'prod29', 'prod49', 'prod23', 'prod54', 'prod26']"
user41,12345,Riley Brown,"['prod39', 'prod34', 'prod51', 'prod32', 'prod52', 'prod75', 'prod85', 'prod19', 'prod95', 'prod18', 'prod62', 'prod55', 'prod89', 'prod37', 'prod31', 'prod22', 'prod44', 'prod42', 'prod83', 'prod71', 'prod25', 'prod41', 'prod61', 'prod74', 'prod47', 'prod78', 'prod59', 'prod92', 'prod43', 'prod94', 'prod45', 'prod26', 'prod96', 'prod30', 'prod6', 'prod80', 'prod88', 'prod21', 'prod12', 'prod99']","['prod39', 'prod82', 'prod40', 'prod25', 'prod48', 'prod46', 'prod95']","['prod70', 'prod47', 'prod12', 'prod82', 'prod10', 'prod21', 'prod40']","['prod22', 'prod89']",{},"['prod3', 'prod38', 'prod29', 'prod93', 'prod13', 'prod70', 'prod86', 'prod69', 'prod27', 'prod45', 'prod17', 'prod85', 'prod95', 'prod39', 'prod24', 'prod33', 'prod55', 'prod1', 'prod12', 'prod20', 'prod91', 'prod14', 'prod58', 'prod98']"
user42,12345,Samuel Bailey,"['prod47', 'prod60', 'prod65', 'prod77', 'prod19', 'prod84', 'prod39', 'prod38', 'prod17', 'prod86', 'prod87', 'prod1', 'prod64', 'prod20', 'prod9', 'prod27', 'prod57', 'prod46', 'prod25', 'prod92', 'prod31', 'prod8', 'prod89', 'prod30', 'prod48', 'prod22', 'prod15', 'prod88', 'prod6', 'prod91', 'prod58', 'prod72', 'prod40']","['prod91', 'prod7', 'prod17', 'prod69']","['prod92', 'prod50', 'prod14', 'prod60']","['prod77', 'prod38', 'prod85', 'prod4', 'prod69', 'prod2', 'prod33', 'prod46', 'prod79']","{'prod79': 1, 'prod69': 2}","['prod35', 'prod20', 'prod94', 'prod78', 'prod63', 'prod36', 'prod13', 'prod1', 'prod88', 'prod76', 'prod25', 'prod97', 'prod83', 'prod47', 'prod86', 'prod74', 'prod22', 'prod44', 'prod53', 'prod90', 'prod9', 'prod51', 'prod68', 'prod67', 'prod55', 'prod18', 'prod19', 'prod8', 'prod28', 'prod49', 'prod31', 'prod38', 'prod52', 'prod7', 'prod91', 'prod3', 'prod34', 'prod21', 'prod84', 'prod41', 'prod57', 'prod62', 'prod75', 'prod14', 'prod60', 'prod30']"
user43,12345,Zoey Roberts,"['prod44', 'prod62', 'prod11', 'prod47', 'prod45', 'prod84', 'prod65', 'prod61', 'prod29', 'prod37', 'prod100', 'prod67', 'prod9', 'prod82', 'prod95', 'prod91', 'prod7', 'prod28', 'prod56', 'prod99', 'prod75', 'prod59', 'prod68', 'prod57', 'prod10', 'prod1', 'prod60', 'prod90', 'prod41', 'prod2', 'prod14', 'prod25', 'prod22', 'prod92', 'prod54', 'prod63', 'prod71', 'prod17', 'prod42', 'prod13', 'prod96', 'prod15']","['prod95', 'prod49', 'prod88', 'prod23', 'prod65', 'prod38']","['prod60', 'prod70', 'prod64', 'prod21', 'prod62', 'prod71']","['prod74', 'prod12', 'prod63', 'prod25', 'prod35', 'prod7']","{'prod63': 2, 'prod74': 4, 'prod35': 5, 'prod12': 5, 'prod7': 4, 'prod25': 4}","['prod43', 'prod61', 'prod45', 'prod9', 'prod32', 'prod6', 'prod81', 'prod37', 'prod46', 'prod38', 'prod92', 'prod7', 'prod21', 'prod20', 'prod71', 'prod82', 'prod25', 'prod24', 'prod23', 'prod74', 'prod76', 'prod14', 'prod40']"
user44,12345,David Johnson,"['prod68', 'prod50', 'prod86', 'prod15', 'prod20', 'prod61', 'prod1', 'prod43', 'prod82', 'prod37', 'prod24', 'prod30', 'prod52', 'prod63', 'prod100', 'prod51', 'prod69', 'prod29', 'prod31', 'prod55', 'prod76', 'prod91', 'prod87', 'prod25', 'prod84']","['prod33', 'prod54', 'prod26', 'prod68', 'prod13', 'prod74', 'prod44', 'prod77', 'prod35', 'prod97']",['prod98'],"['prod48', 'prod31', 'prod96', 'prod81', 'prod23', 'prod30']","{'prod96': 4, 'prod23': 1}","['prod68', 'prod59', 'prod5', 'prod6', 'prod35', 'prod17', 'prod44', 'prod38', 'prod98', 'prod30', 'prod82', 'prod7', 'prod56', 'prod22', 'prod92', 'prod65', 'prod71', 'prod87', 'prod78', 'prod54', 'prod79', 'prod94', 'prod25', 'prod41', 'prod29', 'prod37', 'prod45', 'prod11', 'prod60', 'prod69', 'prod75', 'prod72', 'prod73', 'prod19', 'prod62', 'prod43', 'prod90', 'prod86', 'prod53']"
user45,12345,Penelope Reed,"['prod2', 'prod61', 'prod77', 'prod74', 'prod83', 'prod39', 'prod98', 'prod68', 'prod45', 'prod27', 'prod94', 'prod47', 'prod92', 'prod99', 'prod12']",['prod83'],"['prod45', 'prod28', 'prod59', 'prod79', 'prod44']","['prod24', 'prod65', 'prod77', 'prod35', 'prod11', 'prod70', 'prod97', 'prod28', 'prod72', 'prod10', 'prod73', 'prod55', 'prod29']","{'prod55': 3, 'prod29': 4, 'prod73': 1, 'prod11': 3, 'prod65': 2, 'prod72': 2, 'prod70': 4, 'prod10': 3, 'prod24': 5, 'prod97': 2}","['prod40', 'prod7', 'prod94', 'prod27', 'prod76', 'prod79', 'prod37', 'prod55', 'prod48', 'prod23', 'prod63', 'prod21', 'prod85', 'prod66']"
user46,12345,Matthew Carter,"['prod76', 'prod74', 'prod81']",['prod10'],['prod94'],"['prod45', 'prod92', 'prod13']",{'prod45': 4},"['prod37', 'prod5', 'prod91', 'prod12', 'prod72', 'prod57', 'prod27', 'prod33', 'prod35', 'prod51', 'prod64', 'prod29', 'prod28', 'prod89', 'prod15', 'prod82', 'prod22', 'prod85', 'prod73', 'prod11', 'prod68', 'prod2', 'prod41', 'prod66', 'prod24', 'prod79', 'prod88', 'prod83', 'prod93', 'prod67', 'prod92', 'prod59', 'prod96', 'prod56', 'prod94']"
user47,12345,Ava Mitchell,"['prod82', 'prod97', 'prod36', 'prod57', 'prod79', 'prod54', 'prod24', 'prod96', 'prod27', 'prod77']","['prod67', 'prod40', 'prod7', 'prod48', 'prod45', 'prod66', 'prod15']","['prod74', 'prod10', 'prod48', 'prod63', 'prod24', 'prod4']","['prod76', 'prod98']","{'prod76': 1, 'prod98': 4}","['prod26', 'prod37', 'prod48', 'prod85', 'prod25', 'prod89', 'prod40', 'prod30', 'prod91', 'prod9', 'prod38', 'prod56', 'prod6', 'prod80', 'prod70', 'prod1', 'prod61', 'prod17', 'prod49', 'prod79', 'prod86', 'prod81', 'prod16', 'prod87', 'prod90', 'prod68', 'prod46', 'prod10', 'prod96', 'prod33', 'prod78', 'prod67', 'prod20', 'prod84', 'prod64', 'prod92', 'prod44', 'prod41', 'prod57', 'prod22']"
user48,12345,Andrew Wright,"['prod10', 'prod15', 'prod68', 'prod99', 'prod29', 'prod94', 'prod35', 'prod32', 'prod75', 'prod42', 'prod72', 'prod28', 'prod24', 'prod60']",['prod18'],"['prod45', 'prod18', 'prod99', 'prod100', 'prod61', 'prod3', 'prod79', 'prod95', 'prod80']","['prod21', 'prod87', 'prod91', 'prod4', 'prod6', 'prod29']",{'prod29': 2},"['prod93', 'prod88', 'prod7', 'prod84', 'prod20', 'prod27', 'prod6', 'prod19', 'prod59', 'prod60', 'prod47', 'prod55', 'prod24', 'prod54', 'prod23', 'prod18']"
user49,12345,Sofia Adams,"['prod55', 'prod22', 'prod31', 'prod94', 'prod35', 'prod99', 'prod30', 'prod84', 'prod100', 'prod9', 'prod1', 'prod54', 'prod67', 'prod88', 'prod57', 'prod86', 'prod39', 'prod37', 'prod10', 'prod13', 'prod53', 'prod60', 'prod47', 'prod4', 'prod51', 'prod23', 'prod77', 'prod63', 'prod78', 'prod70', 'prod42']","['prod92', 'prod73', 'prod15', 'prod64']","['prod65', 'prod5', 'prod24', 'prod15', 'prod59', 'prod28', 'prod75']","['prod48', 'prod66']",{},"['prod87', 'prod26', 'prod10', 'prod4', 'prod11', 'prod19', 'prod42', 'prod79', 'prod8', 'prod73', 'prod52', 'prod46', 'prod28', 'prod59', 'prod25', 'prod43', 'prod74', 'prod86', 'prod49', 'prod23', 'prod20', 'prod56', 'prod32', 'prod88', 'prod18', 'prod27', 'prod48', 'prod99', 'prod9', 'prod1', 'prod85', 'prod7', 'prod98', 'prod13', 'prod3', 'prod38', 'prod47', 'prod84', 'prod34', 'prod14', 'prod90', 'prod37', 'prod66', 'prod93', 'prod39', 'prod97']"
user50,12345,Christopher Turner,"['prod92', 'prod16', 'prod56', 'prod10', 'prod84', 'prod30', 'prod47', 'prod85', 'prod57', 'prod71', 'prod67', 'prod88', 'prod66', 'prod4', 'prod86', 'prod60', 'prod21', 'prod73', 'prod34', 'prod87', 'prod77', 'prod13', 'prod91', 'prod93', 'prod68', 'prod37', 'prod35', 'prod90', 'prod96', 'prod5', 'prod8', 'prod3', 'prod29', 'prod24', 'prod46']","['prod92', 'prod94', 'prod62', 'prod42', 'prod61', 'prod64', 'prod2']","['prod31', 'prod91', 'prod48', 'prod36', 'prod24', 'prod58', 'prod79']","['prod51', 'prod77']",{'prod77': 5},"['prod100', 'prod87', 'prod90', 'prod82', 'prod60', 'prod17', 'prod2', 'prod11', 'prod70', 'prod25', 'prod89', 'prod93', 'prod84', 'prod81', 'prod50', 'prod68', 'prod36', 'prod54', 'prod73', 'prod8', 'prod29', 'prod28', 'prod5']"
